time_of_day,route,stop_id,stop_name,direction,min_load,max_load,avg_load,us_housing_units_no_vehicle_po,us_housing_units_no_vehicle,us_population_low_income_po,us_population_low_income,population_density,us_population,us_population_eighteen_to_twenty_four_years_old,us_population_eighteen_to_twenty_four_years_old_po,us_population_twenty_five_to_sixty_four_years_old_po,us_population_twenty_five_to_sixty_four_years_old,latitude,longitude
Morning,31,3049, BALBOA ST&23RD AVE NE-NS/PS,Outbound,6,29,16,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77651,-122.48328
Evening,31,3049, BALBOA ST&23RD AVE NE-NS/PS,Outbound,10,41,28.125,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77651,-122.48328
Evening,931,3049, BALBOA ST&23RD AVE NE-NS/PS,Outbound,17,33,25,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77651,-122.48328
Morning,931,3050, BALBOA ST&23RD AVE SW-NS/SB,Inbound,34,45,39.25,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77657,-122.48288
Evening,31,3050, BALBOA ST&23RD AVE SW-NS/SB,Inbound,14,62,26.42857143,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77657,-122.48288
Morning,31,3050, BALBOA ST&23RD AVE SW-NS/SB,Inbound,3,33,19.11111111,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77657,-122.48288
Morning,31,3051, BALBOA ST&25TH AVE NW-FS/BZ,Outbound,6,29,15.14285714,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77643,-122.48512
Evening,931,3051, BALBOA ST&25TH AVE NW-FS/BZ,Outbound,14,29,21.44444444,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77643,-122.48512
Evening,31,3051, BALBOA ST&25TH AVE NW-FS/BZ,Outbound,7,36,25.75,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.77643,-122.48512
Evening,31,3052, BALBOA ST&25TH AVE SE-FS/BZ,Inbound,14,60,25.85714286,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.7764,-122.48481
Morning,931,3052, BALBOA ST&25TH AVE SE-FS/BZ,Inbound,34,41,37.33333333,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.7764,-122.48481
Morning,31,3052, BALBOA ST&25TH AVE SE-FS/BZ,Inbound,3,30,17.55555556,0.214111179,3274,0.187555219,7923,8515,7923,0.087845513,7923,0.602675754,7923,37.7764,-122.48481
Morning,31,3053, BALBOA ST&28TH AVE NE-NS/BZ,Outbound,6,28,14.57142857,0.250617284,3240,0.235432762,7637,8515,7637,0.086945136,7637,0.598664397,7637,37.77986,-122.49286
Evening,931,3053, BALBOA ST&28TH AVE NE-NS/BZ,Outbound,12,24,18,0.250617284,3240,0.235432762,7637,8515,7637,0.086945136,7637,0.598664397,7637,37.77986,-122.49286
Evening,31,3053, BALBOA ST&28TH AVE NE-NS/BZ,Outbound,6,33,22.28571429,0.250617284,3240,0.235432762,7637,8515,7637,0.086945136,7637,0.598664397,7637,37.77986,-122.49286
Morning,31,3054, BALBOA ST&28TH AVE SW-NS/SB,Inbound,3,25,14.33333333,0.250617284,3240,0.235432762,7637,8515,7637,0.086945136,7637,0.598664397,7637,37.77621,-122.48816
Morning,931,3054, BALBOA ST&28TH AVE SW-NS/SB,Inbound,30,42,35,0.250617284,3240,0.235432762,7637,8515,7637,0.086945136,7637,0.598664397,7637,37.77621,-122.48816
Evening,31,3054, BALBOA ST&28TH AVE SW-NS/SB,Inbound,12,62,25,0.250617284,3240,0.235432762,7637,8515,7637,0.086945136,7637,0.598664397,7637,37.77621,-122.48816
Evening,31,3055, BALBOA ST&30TH AVE NW-FS/PS,Outbound,6,33,22.14285714,0.250617284,3240,0.235432762,7637,8515,7637,0.086945136,7637,0.598664397,7637,37.78183,-122.49241
Morning,31,3055, BALBOA ST&30TH AVE NW-FS/PS,Outbound,6,24,14.25,0.250617284,3240,0.235432762,7637,8515,7637,0.086945136,7637,0.598664397,7637,37.78183,-122.49241
Evening,931,3055, BALBOA ST&30TH AVE NW-FS/PS,Outbound,12,21,16,0.250617284,3240,0.235432762,7637,8515,7637,0.086945136,7637,0.598664397,7637,37.78183,-122.49241
Morning,931,3056, BALBOA ST&30TH AVE SW-NS/SB,Inbound,29,39,32.33333333,0.250617284,3240,0.235432762,7637,8515,7637,0.086945136,7637,0.598664397,7637,37.77614,-122.49042
Morning,31,3056, BALBOA ST&30TH AVE SW-NS/SB,Inbound,3,23,13.22222222,0.250617284,3240,0.235432762,7637,8515,7637,0.086945136,7637,0.598664397,7637,37.77614,-122.49042
